,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume
0,2014-09-17,465.86,468.17,452.42,457.33,457.33,,BTC,457.330000,,,,,457.330000,0E-17,457.33,457.33,0E-13,2014-09-17,0.0,0.0,1.0,0.338183,153
1,2014-09-18,456.86,456.86,413.10,424.44,424.44,,BTC,440.885000,394.3715159335489,487.3984840664511,0.3232233047033632,0E-19,440.885000,-0.03729997618426574,457.33,424.44,-0.0719174338005,2014-09-18,0.0,0.0,1.0,0.3728121,165
2,2014-09-19,424.10,427.83,384.53,394.80,394.80,,BTC,425.523333,362.9651861817531,488.08147981824686,0.25444179085689744,0E-19,425.523333,-0.07220128866587910,457.33,394.80,-0.1367284018105,2014-09-19,0.0,0.0,1.0,0.3566033,184
3,2014-09-20,394.67,423.30,389.88,408.90,408.90,,BTC,421.367500,367.65204877784237,475.08295122215765,0.3839486617320159,7.5163921317766670000,421.367500,-0.02958818608459361,457.33,408.90,-0.1058972733037,2014-09-20,0.0,0.0,1.0,0.3581093,183
4,2014-09-21,408.08,412.43,393.18,398.82,398.82,,BTC,416.858000,366.1556915712904,467.5603084287096,0.3221185527936811,7.2445226291380000000,416.858000,-0.04327132980535338,457.33,398.82,-0.1279382502788,2014-09-21,0.0,0.0,1.0,0.3354589,146
5,2014-09-22,399.10,406.92,397.13,402.15,402.15,,BTC,414.406667,367.4940236437931,461.3193103562069,0.3693671244771331,8.1464896849512000000,414.406667,-0.02957642329629798,457.33,402.15,-0.1206568560995,2014-09-22,0.0,0.0,1.0,0.3270915,164
6,2014-09-23,402.09,441.56,396.20,435.79,435.79,,BTC,417.461429,371.68719253657525,463.23566546342477,0.7002061903822818,17.7141638680100000000,417.461429,0.04390482503714134,457.33,435.79,-0.0470994686550,2014-09-23,0.0,0.0,1.0,0.3919724,181
7,2014-09-24,435.75,436.11,421.13,423.20,423.20,,BTC,418.178750,375.6062176916811,460.7512823083189,0.558972883779089,21.6718832103447140000,418.178750,0.01200742505447730,457.33,423.20,-0.0746288238252,2014-09-24,0.0,0.0,1.0,0.3827767,215
8,2014-09-25,423.16,423.52,409.47,411.57,411.57,,BTC,417.444444,377.37850695728116,457.5103810427188,0.4266902956277227,22.3152886614425000000,417.444444,-0.01407239714034857,457.33,411.57,-0.1000590383312,2014-09-25,0.0,0.0,1.0,0.3328656,253
9,2014-09-26,411.43,414.94,400.01,404.42,404.42,,BTC,416.142000,377.47975220652006,454.80424779347993,0.34840508934432934,21.5452138529061110000,416.142000,-0.02816826948493543,457.33,404.42,-0.1156932630704,2014-09-26,0.0,0.0,1.0,0.4116884,199
10,2014-09-27,403.56,406.62,397.37,399.52,399.52,,BTC,414.630909,376.6077334834333,452.6540845165666,0.30129343755867805,20.1455301455301000000,414.630909,-0.03644424154591910,457.33,399.52,-0.1264076268777,2014-09-27,0.0,0.0,1.0,0.4261105,181
11,2014-09-28,399.47,401.02,374.33,377.18,377.18,,BTC,411.510000,369.2980051514868,453.7219948485132,0.09336202750899887,18.3141183141182730000,411.510000,-0.08342446113095672,457.33,377.18,-0.1752563794197,2014-09-28,0.0,0.0,1.0,0.4302159,264
12,2014-09-29,376.93,385.21,372.24,375.47,375.47,,BTC,408.737692,363.6486614390856,453.8267225609144,0.13108885258626324,16.7879417879417500000,408.737692,-0.08139129972872676,457.33,375.47,-0.1789954737279,2014-09-29,0.0,0.0,1.0,0.4238957,278
13,2014-09-30,376.09,390.98,373.44,386.94,386.94,,BTC,407.180714,362.3210597166958,452.04036828330425,0.2743995765975712,16.5743868303585380000,407.180714,-0.04970941231759813,457.33,386.94,-0.1539151159994,2014-09-30,0.0,0.0,1.0,0.3785208,313
14,2014-10-01,387.43,391.38,380.78,383.61,383.61,,BTC,405.609333,360.700527330436,450.518138669564,0.2550665991668805,16.1007739495401430000,405.609333,-0.05423773865676804,457.33,383.61,-0.1611965101786,2014-10-01,0.0,0.0,1.0,0.4138326,233
15,2014-10-02,383.99,385.50,372.95,375.07,375.07,,BTC,400.125333,362.8414315589401,437.40923444105994,0.1639926076458412,15.0273890195708000000,400.125333,-0.06261871202241524,424.44,375.07,-0.1163179719159,2014-10-02,0.0,0.0,1.0,0.404681,279
16,2014-10-03,375.18,377.70,357.86,359.51,359.51,,BTC,395.796667,355.644618365792,435.94871563420804,0.0481343015573413,15.0273890195708000000,395.796667,-0.09168007218211365,394.80,359.51,-0.0893870314083,2014-10-03,0.0,0.0,1.0,0.3864387,212
17,2014-10-04,359.89,364.49,325.89,328.87,328.87,,BTC,391.401333,338.40253092908165,444.4001350709184,-0.08993156973931263,15.0273890195708000000,391.401333,-0.15976269809995767,408.90,328.87,-0.1957202249939,2014-10-04,0.0,0.0,1.0,0.4106761,176
18,2014-10-05,328.92,341.80,289.30,320.51,320.51,,BTC,385.508667,322.1963333486414,448.8210006513586,-0.013317573775810743,13.5241105932154670000,385.508667,-0.16860494345254240,398.82,320.51,-0.1963542450228,2014-10-05,0.0,0.0,1.0,0.3506875,288
19,2014-10-06,320.39,345.13,302.56,330.08,330.08,,BTC,380.926000,312.03744909555513,449.81455090444484,0.1309546409930413,13.6489514329711330000,380.926000,-0.13347999348954915,402.15,330.08,-0.1792117369141,2014-10-06,0.0,0.0,0.9967949,0.3644359,312
20,2014-10-07,330.58,339.25,320.48,336.19,336.19,,BTC,376.528667,305.07335234544854,447.9839816545514,0.21773501246886917,13.7721052730950000000,376.528667,-0.10713305661797060,435.79,336.19,-0.2285504486106,2014-10-07,0.0,0.0,1.0,0.4006621,293
21,2014-10-08,336.12,354.36,327.19,352.94,352.94,,BTC,371.005333,306.73485905626455,435.27580694373546,0.3594585360004112,11.5073019511892670000,371.005333,-0.04869292000177259,423.20,352.94,-0.1660207939509,2014-10-08,0.0,0.0,1.0,0.393885,287
22,2014-10-09,352.75,382.73,347.69,365.03,365.03,,BTC,367.127333,309.6984540195395,424.55621198046055,0.48173973585037555,11.7388114138058670000,367.127333,-0.00571282171463926,411.57,365.03,-0.1130791845859,2014-10-09,0.0,0.0,1.0,0.3965657,274
23,2014-10-10,364.69,375.07,352.96,361.56,361.56,,BTC,363.793333,311.8802800492568,415.70638595074325,0.4784896777105454,13.2123005240486000000,363.793333,-0.00613901574716324,404.42,361.56,-0.1059789327926,2014-10-10,0.0,0.0,1.0,0.3458814,295
24,2014-10-11,361.36,367.19,355.95,362.30,362.30,,BTC,360.985333,314.1854283195924,407.78523768040765,0.514045616214154,15.7127954305680670000,360.985333,0.00364188480754701,399.52,362.30,-0.0931617941530,2014-10-11,0.0,0.0,1.0,0.4259541,283
25,2014-10-12,362.61,379.43,356.14,378.55,378.55,,BTC,359.587333,316.62525771980717,402.54940828019284,0.7206907705962534,21.0342479174578670000,359.587333,0.05273452443887950,377.18,378.55,0.0036322180391,2014-10-12,0.0,0.0,1.0,0.3987789,303
