,TradeDate,Shares,Order,Symbol
0,2019-01-01,130.10668748373666,SELL,BTC
1,2019-01-02,260.2133749674733,BUY,BTC
2,2019-01-03,260.2133749674733,SELL,BTC
3,2019-01-06,260.2133749674733,BUY,BTC
4,2019-01-10,260.2133749674733,SELL,BTC
5,2019-02-09,260.2133749674733,BUY,BTC
6,2019-02-24,260.2133749674733,SELL,BTC
7,2019-02-25,260.2133749674733,BUY,BTC
8,2019-03-01,260.2133749674733,SELL,BTC
9,2019-03-08,260.2133749674733,BUY,BTC
10,2019-03-09,260.2133749674733,SELL,BTC
11,2019-03-10,260.2133749674733,BUY,BTC
12,2019-03-22,260.2133749674733,SELL,BTC
13,2019-03-23,260.2133749674733,BUY,BTC
14,2019-03-24,260.2133749674733,SELL,BTC
15,2019-03-27,260.2133749674733,BUY,BTC
16,2019-03-29,260.2133749674733,SELL,BTC
17,2019-04-04,260.2133749674733,BUY,BTC
18,2019-04-05,260.2133749674733,SELL,BTC
19,2019-04-09,260.2133749674733,BUY,BTC
20,2019-04-17,260.2133749674733,SELL,BTC
21,2019-04-23,260.2133749674733,BUY,BTC
22,2019-04-24,260.2133749674733,SELL,BTC
23,2019-04-25,260.2133749674733,BUY,BTC
24,2019-04-27,260.2133749674733,SELL,BTC
25,2019-05-01,260.2133749674733,BUY,BTC
26,2019-06-03,260.2133749674733,SELL,BTC
27,2019-06-12,260.2133749674733,BUY,BTC
28,2019-07-01,260.2133749674733,SELL,BTC
29,2019-07-03,260.2133749674733,BUY,BTC
30,2019-07-05,260.2133749674733,SELL,BTC
31,2019-07-07,260.2133749674733,BUY,BTC
32,2019-07-11,260.2133749674733,SELL,BTC
33,2019-07-12,260.2133749674733,BUY,BTC
34,2019-07-13,260.2133749674733,SELL,BTC
35,2019-07-31,260.2133749674733,BUY,BTC
36,2019-08-13,260.2133749674733,SELL,BTC
37,2019-09-04,260.2133749674733,BUY,BTC
38,2019-09-10,260.2133749674733,SELL,BTC
39,2019-09-11,260.2133749674733,BUY,BTC
40,2019-09-15,260.2133749674733,SELL,BTC
41,2019-10-09,260.2133749674733,BUY,BTC
42,2019-10-15,260.2133749674733,SELL,BTC
43,2019-10-25,260.2133749674733,BUY,BTC
