,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
0,2017-03-21,1055.36,1122.43,1055.36,1120.54,1120.54,337391008,BTC,2017-03-21,0.0,0.0,1.0,0.1078378,74.0,0.0,0.0,0.0
1,2017-03-22,1120.65,1120.65,1014.21,1049.14,1049.14,380840992,BTC,2017-03-22,0.0,0.0,1.0,-0.0208462,65.0,-1.601923076922958,-0.8899572649571988,-0.7119658119657591
2,2017-03-23,1050.05,1058.01,1028.93,1038.59,1038.59,248540000,BTC,2017-03-23,0.0,0.0,1.0,0.0658689,61.0,-2.3683228293666616,-1.4958447913545194,-0.8724780380121422
3,2017-03-24,1038.45,1040.47,934.36,937.52,937.52,491038016,BTC,2017-03-24,0.0,0.0,1.0,0.0646456,79.0,-6.307948735743139,-3.125961303681287,-3.181987432061852
4,2017-03-25,936.54,975.76,903.71,972.78,972.78,435803008,BTC,2017-03-25,0.0,0.0,1.0,0.211,38.0,-6.912807778449746,-4.2524625158327805,-2.660345262616966
5,2017-03-26,974.02,1007.96,954.19,966.72,966.72,303668000,BTC,2017-03-26,0.0,0.0,1.0,0.0798485,66.0,-7.405601435414951,-5.107138474172124,-2.2984629612428273
6,2017-03-27,972.05,1046.40,971.98,1045.77,1045.77,372535008,BTC,2017-03-27,0.0,0.0,1.0,0.0974267,75.0,-4.012977691997662,-4.830235569757296,0.8172578777596335
7,2017-03-28,1044.58,1064.65,1027.73,1047.15,1047.15,326332000,BTC,2017-03-28,0.0,0.0,1.0,0.1827778,45.0,-1.6079634365624997,-4.055862981309691,2.447899544747191
8,2017-03-29,1046.08,1055.13,1015.88,1039.97,1039.97,298457984,BTC,2017-03-29,0.035714287,0.0,0.96428573,0.2650714,28.0,-0.2742963736806132,-3.1823023344986927,2.9080059608180795
9,2017-03-30,1042.21,1049.29,1020.04,1026.43,1026.43,352968992,BTC,2017-03-30,0.0,0.0,1.0,0.131878,41.0,-0.02167455876792701,-2.4741382385444144,2.4524636797764874
10,2017-03-31,1026.64,1074.92,1026.64,1071.79,1071.79,447287008,BTC,2017-03-31,0.0,0.0,1.0,0.0218148,54.0,2.5777578644997448,-1.3688122374097456,3.94657010190949
11,2017-04-01,1071.71,1091.72,1061.09,1080.50,1080.50,289633984,BTC,2017-04-01,0.0,0.0,1.0,0.0726418,67.0,4.926910253201186,-0.01675507883300284,4.943665332034189
12,2017-04-02,1080.61,1107.59,1075.45,1102.17,1102.17,514187008,BTC,2017-04-02,0.023809524,0.0,0.97619045,0.074619,42.0,7.827846446567037,1.6434351492519812,6.184411297315055
13,2017-04-03,1102.95,1151.74,1102.95,1143.81,1143.81,580444032,BTC,2017-04-03,0.0,0.0,1.0,0.0637887,71.0,12.310863409966487,3.8750691005296622,8.435794309436824
