,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,multiplier,on_balance_volume,window_start_price,window_end_price,momentum
0,2017-03-21,1055.36,1122.43,1055.36,1120.54,1120.54,337391008,BTC,,1120.540000,0E-17,1,337391008,1120.54,1120.54,0E-13
1,2017-03-22,1120.65,1120.65,1014.21,1049.14,1049.14,380840992,BTC,0E-19,1084.840000,-0.03290807861067070,-1,-43449984,1120.54,1049.14,-0.0637192782052
2,2017-03-23,1050.05,1058.01,1028.93,1038.59,1038.59,248540000,BTC,0E-19,1069.423333,-0.02883173767445749,-1,-291989984,1120.54,1038.59,-0.0731343816374
3,2017-03-24,1038.45,1040.47,934.36,937.52,937.52,491038016,BTC,0E-19,1036.447500,-0.09544863584503798,-1,-783028000,1120.54,937.52,-0.1633319649455
4,2017-03-25,936.54,975.76,903.71,972.78,972.78,435803008,BTC,4.8164135067205000000,1023.714000,-0.04975413054818045,1,-347224992,1120.54,972.78,-0.1318649936638
5,2017-03-26,974.02,1007.96,954.19,966.72,966.72,303668000,BTC,8.8050486285650000000,1014.215000,-0.04682932119915403,-1,-650892992,1120.54,966.72,-0.1372731004694
6,2017-03-27,972.05,1046.40,971.98,1045.77,1045.77,372535008,BTC,23.5916839689650000000,1018.722857,0.02655005020663829,1,-278357984,1120.54,1045.77,-0.0667267567423
7,2017-03-28,1044.58,1064.65,1027.73,1047.15,1047.15,326332000,BTC,38.5668232980000000000,1022.276250,0.02433173029305924,1,47974016,1120.54,1047.15,-0.0654952076677
8,2017-03-29,1046.08,1055.13,1015.88,1039.97,1039.97,298457984,BTC,47.7447819910390000000,1024.242222,0.01535552593144320,-1,-250483968,1120.54,1039.97,-0.0719028325629
9,2017-03-30,1042.21,1049.29,1020.04,1026.43,1026.43,352968992,BTC,55.9009944268385000000,1024.461000,0.00192198629328008,-1,-603452960,1120.54,1026.43,-0.0839862923233
10,2017-03-31,1026.64,1074.92,1026.64,1071.79,1071.79,447287008,BTC,59.4552507922630000000,1028.763636,0.04182337175844734,1,-156165952,1120.54,1071.79,-0.0435058096989
